Funds,1 Wk Ret (%),1 Wk Rank,1 Mth Ret (%),1 Mth Rank,3 Mth Ret (%),3 Mth Rank,6 Mth Ret (%),6 Mth Rank,1 Yr Ret (%),1 Yr Rank
Bandhan Nifty100 Low Volatility 30 Index Fund - Direct Plan,-1.02,81/111,-0.22,5/110,3.60,82/105,4.97,94/99,1.33,47/94
Bandhan Nifty200 Momentum 30 Index Fund - Direct Plan,-0.27,13/63,-3.76,58/60,6.07,37/58,2.19,46/55,-13.04,42/44
Bandhan Nifty 200 Quality 30 Index Fund - Direct Plan,-2.88,62/63,-2.95,49/60,3.17,52/58,0.71,54/55,--,--
Bandhan Nifty 500 Momentum 50 Index Fund - Direct Plan,-0.96,63/103,-4.96,102/102,6.29,48/99,3.30,90/96,--,--
Bandhan Nifty 500 Value 50 Index Fund - Direct Plan,-1.50,20/30,0.46,5/30,5.35,20/30,8.73,11/29,--,--
Bandhan Nifty 50 ETF,-0.48,40/172,-1.31,98/170,3.96,72/160,8.37,27/152,2.98,29/146
Bandhan Nifty 50 Index Fund - Direct Plan,-0.48,30/111,-1.32,68/110,3.96,56/105,8.35,17/99,2.81,28/94
Bandhan Nifty Alpha 50 Index Fund - Direct Plan,-0.83,51/103,-2.59,93/102,10.43,4/99,4.99,83/96,-10.43,86/88
Bandhan Nifty Alpha Low Volatility 30 Index Fund - Direct Plan,-0.44,23/63,-1.94,47/60,2.03,58/58,2.09,48/55,--,--
Bandhan Nifty Bank Index Fund - Direct Plan,0.50,8/38,0.21,14/37,3.92,30/37,17.36,23/33,--,--
Bandhan Nifty IT Index Fund - Direct Plan,-4.08,21/21,-8.62,20/21,1.01,18/20,-17.51,18/19,-9.53,14/15
Bandhan Nifty Midcap 150 Index Fund - Direct Plan,-1.61,31/52,-0.56,22/52,9.32,23/51,8.88,30/48,--,--
Bandhan Nifty Next 50 Index Fund - Direct Plan,-1.53,106/111,-0.72,29/110,4.51,37/105,--,--,--,--
Bandhan Nifty Smallcap 250 Index Fund - Direct Plan,-2.93,37/46,-0.38,32/46,12.05,12/46,8.36,24/43,-0.76,27/42
Bandhan Nifty Total Market Index Fund - Direct Plan,-1.14,80/103,-0.97,68/102,5.94,57/99,8.31,51/96,0.92,61/88
Bandhan Small Cap Fund - Direct Plan,-1.93,11/46,1.12,8/46,12.51,6/46,12.04,2/43,11.07,2/42
Bandhan Transportation and Logistics Fund - Direct Plan,-0.04,18/124,2.19,8/121,13.15,12/118,11.96,17/108,-3.29,54/77
Bandhan US Equity FoF - Direct Plan,0.96,38/51,4.17,28/51,18.46,19/51,2.01,45/51,25.83,18/51
Bandhan Value Fund - Direct Plan,-1.07,8/30,-1.01,25/30,4.04,26/30,6.81,18/29,-1.32,14/26
Bank of India Business Cycle Fund - Direct Plan,-1.80,93/124,0.11,50/121,6.41,79/118,5.56,79/108,--,--
Bank of India Consumption Fund - Direct Plan,-1.01,19/24,0.93,5/24,8.42,2/24,11.43,1/22,--,--
Bank of India ELSS Tax Saver Fund - Direct Plan,-2.07,36/40,-0.71,23/40,6.18,16/40,4.42,38/39,-6.16,36/39
Bank of India Flexi Cap Fund - Direct Plan,-2.01,97/103,-0.32,37/102,8.51,15/99,6.28,77/96,-2.52,78/88
Bank of India Large Cap Fund - Direct Plan,-1.25,89/111,-1.13,44/110,5.80,5/105,8.22,38/99,-3.21,75/94
Bank of India Large & Mid Cap Fund - Direct Plan,-1.25,48/63,-1.53,36/60,5.89,39/58,7.29,31/55,-2.42,31/44
Bank of India Manufacturing & Infrastructure Fund - Direct Plan,-2.37,19/22,0.77,2/22,11.75,3/21,10.56,3/21,0.96,2/20
Bank of India Mid Cap Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Bank of India Multi Cap Fund - Direct Plan,-1.63,28/36,-0.39,23/36,7.67,20/35,8.83,16/34,1.63,20/26
Bank of India Small Cap Fund - Direct Plan,-2.32,22/46,1.54,5/46,9.89,39/46,9.05,11/43,1.80,15/42
Baroda BNP Paribas Aqua FoF - Direct Plan,1.89,--,2.04,--,10.04,--,9.84,--,10.71,--
Baroda BNP Paribas Banking and Financial Services Fund - Direct Plan,0.08,17/38,-0.43,21/37,4.49,19/37,16.79,29/33,18.12,3/30
Baroda BNP Paribas Business Cycle Fund - Direct Plan,-1.21,69/124,-1.10,91/121,5.14,95/118,5.03,83/108,-2.11,47/77
Baroda BNP Paribas Children's Fund - Direct Plan,-0.26,24/103,-0.18,30/102,8.06,19/99,9.90,27/96,--,--
Baroda BNP Paribas Dividend Yield Fund - Direct Plan,-1.17,4/10,-1.15,8/10,5.02,6/10,7.13,4/10,--,--
Baroda BNP Paribas ELSS Tax Saver Fund - Direct Plan,-0.47,13/40,-0.32,15/40,5.99,19/40,7.74,23/39,5.23,6/39
Baroda BNP Paribas Energy Opportunities Fund - Direct Plan,-2.62,4/6,-0.49,6/6,4.63,5/5,--,--,--,--
Baroda BNP Paribas Flexi Cap Fund - Direct Plan,-0.70,45/103,-0.31,36/102,7.23,29/99,8.14,55/96,2.14,52/88
Baroda BNP Paribas Focused Fund - Direct Plan,-0.12,16/103,-0.68,56/102,6.18,50/99,10.01,26/96,-1.18,76/88
Baroda BNP Paribas Health and Wellness Fund - Direct Plan,0.38,17/23,--,--,--,--,--,--,--,--
Baroda BNP Paribas India Consumption Fund - Direct Plan,-0.94,18/24,-0.52,18/24,2.30,22/24,4.14,19/22,-0.54,11/16
Baroda BNP Paribas Innovation Fund - Direct Plan,-0.21,21/124,0.65,34/121,9.96,36/118,6.28,75/108,2.88,26/77
Baroda BNP Paribas Large Cap Fund - Direct Plan,-1.15,83/111,-1.47,91/110,4.16,41/105,6.38,87/99,-0.96,70/94
