Funds,3 Yr Ret (%),3 Yr Rank,5 Yr Ret (%),5 Yr Rank,10 Yr Ret (%),10 Yr Rank,15 Yr Ret (%),15 Yr Rank,20 Yr Ret (%),20 Yr Rank
Sundaram Arbitrage Fund - Direct Plan,7.33,18/24,5.93,19/23,--,--,--,--,--,--
Sundaram Balanced Advantage Fund - Direct Plan,13.85,17/27,14.05,12/22,10.74,5/10,--,--,--,--
Sundaram Conservative Hybrid Fund - Direct Plan,9.08,25/28,9.40,18/25,7.78,18/21,--,--,--,--
Sundaram Equity Savings Fund - Direct Plan,13.90,2/22,13.26,5/22,10.11,2/9,--,--,--,--
Sundaram Multi Asset Allocation Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Tata Aggressive Hybrid Fund - Direct Plan,14.41,38/42,17.09,30/39,10.77,19/23,--,--,--,--
Tata Arbitrage Fund - Direct Plan,7.75,4/24,6.38,4/23,--,--,--,--,--,--
Tata Balanced Advantage Fund - Direct Plan,13.52,19/27,14.69,9/22,--,--,--,--,--,--
Tata Equity Savings Fund - Direct Plan,11.06,15/22,11.17,15/22,8.35,--,--,--,--,--
Tata Multi Asset Allocation Fund - Direct Plan,17.51,12/21,19.03,3/13,--,--,--,--,--,--
Tata Retirement Savings Fund - Conservative Plan - Direct Plan,10.43,18/28,9.08,20/25,9.16,8/21,--,--,--,--
Tata Retirement Savings Fund - Moderate Plan - Direct Plan,18.05,15/42,17.40,27/39,13.49,5/23,--,--,--,--
Unifi Dynamic Asset Allocation Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Union Aggressive Hybrid Fund - Direct Plan,15.72,29/42,--,--,--,--,--,--,--,--
Union Arbitrage Fund - Direct Plan,7.44,17/24,5.94,18/23,--,--,--,--,--,--
Union Balanced Advantage Fund - Direct Plan,12.33,24/27,12.34,16/22,--,--,--,--,--,--
Union Equity Savings Fund - Direct Plan,9.34,20/22,8.92,22/22,--,--,--,--,--,--
Union Multi Asset Allocation Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
UTI Aggressive Hybrid Fund - Direct Plan,18.57,11/42,21.17,9/39,12.80,12/23,--,--,--,--
UTI Arbitrage Fund - Direct Plan,7.59,11/24,6.21,11/23,6.39,10/14,--,--,--,--
UTI Balanced Advantage Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
UTI Children's Hybrid Fund - Direct Plan,10.65,4/4,12.03,3/4,8.74,4/4,--,--,--,--
UTI Conservative Hybrid Fund - Direct Plan,11.21,12/28,11.85,7/25,9.04,10/21,--,--,--,--
UTI Conservative Hybrid Fund Segregated Portfolio - Direct Plan,--,--,--,--,--,--,--,--,--,--
UTI Equity Savings Fund - Direct Plan,12.26,8/22,12.89,6/22,--,--,--,--,--,--
UTI Multi Asset Allocation Fund - Direct Plan,21.03,4/21,16.80,8/13,11.04,5/7,--,--,--,--
UTI Retirement Fund - Direct Plan,13.83,1/4,14.71,1/4,10.18,1/4,--,--,--,--
UTI Unit Linked Insurance Plan - Direct Plan,10.68,27/27,11.76,20/22,8.74,9/10,--,--,--,--
WhiteOak Capital Arbitrage Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
WhiteOak Capital Balanced Advantage Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
WhiteOak Capital Balanced Hybrid Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
WhiteOak Capital Equity Savings Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
WhiteOak Capital Multi Asset Allocation Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Zerodha Multi Asset Passive FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
