Funds,1 Wk Ret (%),1 Wk Rank,1 Mth Ret (%),1 Mth Rank,3 Mth Ret (%),3 Mth Rank,6 Mth Ret (%),6 Mth Rank,1 Yr Ret (%),1 Yr Rank
LIC MF Unit Linked Insurance - Direct Plan,-1.04,39/44,-1.39,42/44,4.14,35/44,7.50,25/44,4.06,32/44
Mahindra Manulife Aggressive Hybrid Fund - Direct Plan,-0.62,28/44,-0.48,33/44,4.60,28/44,9.03,7/44,5.97,15/44
Mahindra Manulife Arbitrage Fund - Direct Plan,0.20,3/32,0.58,28/32,1.30,31/32,2.99,30/31,6.27,27/27
Mahindra Manulife Balanced Advantage Fund - Direct Plan,-1.24,37/38,0.23,10/38,4.93,5/38,7.48,8/37,5.45,20/36
Mahindra Manulife Equity Savings Fund - Direct Plan,-0.03,9/23,0.44,7/23,3.42,8/23,5.40,9/22,5.33,19/22
Mahindra Manulife Multi Asset Allocation Fund - Direct Plan,-0.13,12/43,1.01,8/43,5.65,10/41,10.24,10/40,10.71,11/37
Mirae Asset Aggressive Hybrid Fund - Direct Plan,-0.59,26/44,0.14,8/44,5.42,15/44,9.56,6/44,5.86,16/44
Mirae Asset Arbitrage Fund - Direct Plan,0.15,29/32,0.59,27/32,1.46,24/32,3.52,22/31,7.39,17/27
Mirae Asset Balanced Advantage Fund - Direct Plan,-0.43,19/38,0.09,14/38,4.25,12/38,7.87,7/37,7.04,10/36
Mirae Asset Equity Savings Fund - Direct Plan,-0.32,19/23,0.29,11/23,3.94,2/23,7.16,1/22,8.19,3/22
Mirae Asset Multi Asset Allocation Fund - Direct Plan,-0.24,17/43,0.55,18/43,5.08,17/41,10.59,7/40,12.19,5/37
Motilal Oswal Arbitrage Fund - Direct Plan,0.18,8/32,0.63,14/32,1.83,1/32,3.90,1/31,--,--
Motilal Oswal Asset Allocation Passive FoF - Aggressive - Direct Plan,-0.13,13/43,0.87,10/43,6.72,5/41,8.50,24/40,11.09,9/37
